category_name,category_id,product_name,brand,serving_size,total_weight,kcal,carbohydrate_g,sugar_g,fat_g,saturated_fat_g,trans_fat_g,protein_g,sodium_mg,sugar_alcohol_g,allulose_g,erythritol_g
음료,5,제로 복숭아 아이스티,주식회사 대상다이브스,-,"1,580.000mL",3,20.6,0,0.09,0.02,0,0.18,50,,8.9,11.2
음료,5,제로 아이스티 샤인&라임,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,0.2,0,0,0,0,0,1,,,
음료,5,제로 아이스티 화이트피치,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,0.2,0,0,0,0,0,1,,,
음료,5,제로슈거 이온워터 복숭아맛,퓨어플러스(주),200ml,100.000mL,1,2.7,0,0,0,0,0,30,,,2.5
음료,5,쥬시쿨 제로 자두,㈜빙그레,100ml,930.000mL,4,2,0,0,0,0,0,55,,1.1,
음료,5,쥬시쿨 제로 파인애플,㈜빙그레,100ml,930.000mL,4,2,0,0,0,0,0,55,,1.1,
음료,5,캐치!티니핑 제로 샤인머스캣맛,웅진식품㈜,200ml,200.000mL,2,1.85,0,0,0,0,0,5,,,1.5
음료,5,캐치!티니핑 제로 애플망고맛,웅진식품㈜,200ml,200.000mL,1,1.75,0,0,0,0,0,5,,,1.5
음료,5,코코뿌요 제로 복숭아,㈜삼양패키징 광혜원 공장,200ml,280.000mL,3,3.38,0,0.01,0,0,0.08,10,,,2.8
음료,5,코코뿌요 제로 애플망고,㈜삼양패키징 광혜원 공장,200ml,280.000mL,1,2.76,0,0.02,0,0,0.03,10,,,2.65
음료,5,쿨피스 제로 복숭아,㈜자연과사람들,200ml,230.000mL,2,0.87,0,0,0,0,0,48,,0.35,
음료,5,쿨피스 제로 자두,㈜자연과사람들,200ml,230.000mL,2,0.87,0,0,0,0,0,35,,0.35,
음료,5,쿨피스 제로 파인애플,㈜자연과사람들,200ml,230.000mL,4,1.3,0,0,0,0,0,48,,0.35,
음료,5,클룹 서울식혜 제로 알밤,오케이에프음료 주식회사,200ml,238.000mL,1,3.78,0,0,0,0,0,0,,,3.49
음료,5,클룹 서울식혜 제로 호박,오케이에프음료 주식회사,200ml,238.000mL,1,3.78,0,0,0,0,0,0,,,3.49
음료,5,토레타! 제로,해태에이치티비㈜,200ml,900.000mL,1,0.2,0,0,0,0,0,54,,,
음료,5,티즐 아이스티 제로 딸기,동원시스템즈㈜,200ml,500.000mL,1,1.8,0,0,0,0,0,1,,,7.5
음료,5,티즐 아이스티 제로 복숭아,동원시스템즈㈜,200ml,500.000mL,1,1.8,0,0,0,0,0,5,,,7.5
음료,5,티즐 제로 딸기루이보스,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,1.76,0,0,0,0,0,5,,,1.5
음료,5,티즐 제로 애플시나몬,웅진식품㈜,200ml,280.000mL,0,1.54,0,0,0,0,0,5,,,1.5
음료,5,티즐 제로 유자그린티,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,1.32,0,0,0,0,0,5,,,1
음료,5,티즐 제로 피치우롱티,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,1.34,0,0,0,0,0,5,,,1
음료,5,파리의 이온비타제로 납작복숭아,퓨어플러스(주),200ml,100.000mL,1,2.5,0,0,0,0,0,35,,,2.3
음료,5,파리의 이온비타제로 레몬,퓨어플러스(주),200ml,100.000mL,1,2.4,0,0,0,0,0,34,,,2.2
음료,5,파워에이드 제로 라임향,㈜삼양패키징 광혜원 공장,200ml,355.000mL,1,0.28,0,0,0,0,0,57,,,
음료,5,포도봉봉 제로,해태에이치티비㈜,200ml,340.000mL,1,0.21,0,0,0,0,0,21,,,
음료,5,피치 얼그레이 제로,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,1.28,0.01,0,0,0,0.05,5,,,1.2
음료,5,피크닉 사과 제로,매일유업㈜,200ml,200.000mL,3,3.5,0,0,0,0,0,25,,,5.4
음료,5,피크닉 청포도 제로,매일유업㈜,200ml,200.000mL,3,3.5,0,0,0,0,0,25,,,5.4
음료,5,할리스 복숭아 얼그레이 제로,㈜삼양패키징,200ml,500.000mL,1,1.28,0,0.01,0,0,0.05,5,,,1.2
음료,5,할리스 유자몽 블랙티 제로,㈜삼양패키징,200ml,500.000mL,1,1.29,0,0.01,0,0,0.05,4,,,1.22
음료,5,할리스 청귤 그린티 제로,㈜삼양패키징,200ml,500.000mL,0,1.29,0,0.01,0,0,0.02,4,,,1.24
음료,5,핫식스제로,롯데칠성음료㈜,200ml,250.000mL,2,5.71,0.04,0,0,0,0.09,26,,2.16,3.05
음료,5,후레쉬 매실 제로슈가,우일음료,200ml,500.000mL,2,2.14,0.12,0.02,0,0,0.09,10,,,1.6
음료,5,후레쉬 알로에 제로슈가,우일음료,200ml,500.000mL,2,2.4,0,0.02,0.01,0,0.02,10,,,1.8
초콜릿,6,드림카카오제로,(주)에스디푸드,15g,32.00g,478,56.25,6.25,31.25,18.75,0,9.38,31,,,
초콜릿,6,무설탕초콜릿으로만든다크70초코볼,대영식품(주),15g,60.00g,525,46.67,0,38.33,23.33,0,10,8,,,
초콜릿,6,무설탕초콜릿으로만든아몬드초코볼,대영식품(주),15g,60.00g,558,43.33,1.67,43.33,18.33,0,10,0,,,
초콜릿,6,무설탕초콜릿으로만든커피빈초코볼,대영식품(주),15g,60.00g,517,51.67,0,38.33,20,0,6.67,0,,,
초콜릿,6,무설탕초콜릿으로만든헤이즐넛초코볼,대영식품(주),15g,60.00g,608,36.67,1.67,51.67,15,0,10,0,,,
초콜릿,6,제로 초코파이,롯데웰푸드㈜,30g,336.000g,389,61,0,21,13,0,4.6,230,38,,
초콜릿,6,제로넛츠 아몬드,(주)씨앤지,30g,25.00g,535,45.16,0,38.91,14.89,0.02,12.78,38,,,
초콜릿,6,제로마일드초콜릿,㈜삼광식품,15g,50.00g,510,50,0,38,26,0,7,30,40,,
초콜릿,6,제로슈거초코별스낵,(주)델토리,30g,90.00g,468,65.16,0,25.66,24.71,0,5.99,50,,,
초콜릿,6,제로초코볼,주식회사베노프하우스,30g,30.00g,415,48.74,0.06,24.26,18.61,0.01,19.9,237,,,
초콜릿,6,초코헬스 제로넛츠,롯데웰푸드(주)안산공장,30g,25.00g,535,46.46,0,38.89,17.07,0.02,11.36,21,,,
캔디 및 젤리,7,"7days 제로 곤약젤리, 복숭아맛",(주)자임에프앤비,10g,150.000g,2,7.6,0,0,0,0,0,36,,,7.1
캔디 및 젤리,7,"7days 제로 곤약젤리, 자두맛",(주)자임에프앤비,10g,150.000g,3,7.6,0,0,0,0,0,37,,,6.9
캔디 및 젤리,7,"7days 제로 곤약젤리, 청포도맛",(주)자임에프앤비,10g,150.000g,2,7.5,0,0,0,0,0,39,,,6.9
캔디 및 젤리,7,곤약젤리 복숭아 제로,(주)자임에프앤비,10g,150.000g,2,7.5,0,0,0,0,0,38,,,6.9
캔디 및 젤리,7,곤약젤리 사과 제로,,,,,,,,,,,,,,
캔디 및 젤리,7,곤약젤리 오렌지 제로,(주)자임에프앤비,10g,150.000g,2,7.4,0,0,0,0,0,37,,,6.8
캔디 및 젤리,7,곤약젤리 청포도 제로,(주)자임에프앤비,10g,150.000g,2,7.9,0,0,0,0,0,34,,,7.3
캔디 및 젤리,7,마이구미 포도 ZERO% 설탕제로,㈜오리온 제2익산공장,10g,54.00g,230,74.08,0,0,0,0,5.56,28,55.56,,
캔디 및 젤리,7,비앤비 프로폴리스 캔디 제로,한울식품,10g,100.000g,245,98.95,0,0.71,0.1,0,0.04,0,100,,
캔디 및 젤리,7,서주 탱글탱글 제로 사과맛,서주제과㈜,10g,40.00g,218,80,0,0,0,0,0,73,55,,
캔디 및 젤리,7,슈가로로 무설탕 비타민 구미 복숭아,㈜서주2공장,10g,45.00g,196,62.22,0,0,0,0,4.44,22,,,
캔디 및 젤리,7,슈가로로 무설탕 비타민 구미 포도,㈜서주2공장,10g,45.00g,196,66.67,0,0,0,0,4.44,18,51.11,,
캔디 및 젤리,7,웨더스 오리지날 무설탕 카푸치노,AUGUST STORCK KG,10g,70.00g,414,90,0.4,6,4,0,0.1,360,,,
